"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D5010,D5011";"LED_D3.0mm";2;"BLUE";;;
2;"J5004";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"FOLD OUT";;;
3;"D5012,D5013";"LED_D3.0mm";2;"WHITE";;;
4;"J5005";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"SAT IN";;;
5;"RV5005";"RD901F-ALPHA-POT";1;"SAT CV";;;
6;"RV5001";"RD901F-ALPHA-POT";1;"FOLD";;;
7;"RV5003";"RD901F-ALPHA-POT";1;"DRIVE";;;
8;"J5002";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"SAT CV";;;
9;"RV5004";"RD901F-ALPHA-POT";1;"SAT";;;
10;"D5008,D5009";"LED_D3.0mm";2;"RED";;;
11;"D5006,D5007";"LED_D3.0mm";2;"YELLOW";;;
12;"SW5003";"SW_SPDT_2_5mm";1;"SW_BLUE";;;
13;"RV5002";"RD901F-ALPHA-POT";1;"FOLD CV";;;
14;"J5003";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"FOLD IN";;;
15;"SW5002";"SW_SPDT_2_5mm";1;"SW_RED";;;
16;"J5006";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"SAT OUT";;;
17;"J5001";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"FOLD CV";;;
18;"R5021";"R_0402_1005Metric";1;"39k";;;
19;"R5017,R5028,R5042,R5023,R5019,R5026,R5037,R5035,R5027,R5038,R5030,R5036,R5041,R5031,R5034,R5022,R5039,R5014,R5033,R5043,R5032,R5040";"R_0402_1005Metric";22;"30k";;;
20;"U5002,U5003,U5005,U5004";"TSSOP-14_4.4x5mm_P0.65mm";4;"TL074";;;
21;"C5029,C5028";"C_0805_2012Metric";2;"10uF";;;
22;"R5059,R5024,R5007,R5054,R5010,R5056,R5018,R5015,R5020,R5025,R5003,R5008,R5053";"R_0402_1005Metric";13;"100k";;;
23;"C5004,C5026,C5002,C5025,C5003,C5005,C5023";"C_0402_1005Metric";7;"22pF";;;
24;"C5006,C5021,C5020,C5019,C5008,C5017,C5018,C5007";"C_0402_1005Metric";8;"30p";;;
25;"C5012,C5016,C5014,C5009,C5010,C5015,C5013,C5011,C5027,C5001,C5022,C5030";"C_0402_1005Metric";12;"100n";;;
26;"R5009,R5002,R5005,R5013,R5016";"R_0402_1005Metric";5;"10k";;;
27;"R5012,R5052,R5001,R5057,R5046";"R_0402_1005Metric";5;"47k";;;
28;"D5002,D5014";"D_SOD-123";2;"D";;;
29;"R5050";"R_0402_1005Metric";1;"33k";;;
30;"R5045,R5047,R5049,R5048,R5044";"R_0402_1005Metric";5;"470";;;
31;"R5029";"R_0402_1005Metric";1;"75k";;;
32;"R5006,R5060,R5058";"R_0603_1608Metric";3;"1k";;;
33;"D5003,D5001,D5004,D5005";"SOT-363_SC-70-6";4;"BAT54BRW";;;
34;"R5011,R5004";"R_0603_1608Metric";2;"20k";;;
35;"U5001";"SOIC-16_3.9x9.9mm_P1.27mm";1;"LM13700";;;
36;"C5024";"C_0402_1005Metric";1;"100p";;;
37;"R5055";"R_0402_1005Metric";1;"15k";;;
38;"J5007";"eurorac_power-v2";1;"PWR";;;
